Details of the solution:
route 0, node_num 14, cost 74.264098, nodes: 0(79.69, 79.69) 21 23 7 5 3 1 4 6 10 11 9 8 0(5.43, 5.43)
route 1, node_num 13, cost 114.915199, nodes: 0(79.69, 79.69) 59 57 60 58 56 53 117(15.24, 64.95) 54 55 61 66 0(14.49, 14.49)
route 2, node_num 14, cost 97.667123, nodes: 0(79.69, 79.69) 98 96 95 94 92 93 97 100 99 104(16.29, 34.27) 2 75 0(0.00, 0.00)
route 3, node_num 14, cost 137.102476, nodes: 0(79.69, 79.69) 120(41.22, 59.19) 79 77 73 70 71 76 78 81 80 120(-0.00, 39.44) 63 0(0.00, 0.00)
route 4, node_num 15, cost 83.843464, nodes: 0(79.69, 79.69) 62 74 72 64 68 69 116(33.45, 47.37) 40 41 43 46 49 47 0(9.77, 9.77)
route 5, node_num 13, cost 95.171993, nodes: 0(79.69, 79.69) 24 29 34 36 39 38 37 35 31 52 114(3.62, 19.10) 0(0.00, 0.00)
route 6, node_num 15, cost 91.179998, nodes: 0(79.69, 79.69) 20 22 25 27 33 32 112(31.17, 42.66) 51 50 48 45 44 42 0(-0.00, -0.00)
route 7, node_num 15, cost 91.637794, nodes: 0(79.69, 79.69) 91 89 88 85 84 82 102(35.63, 47.58) 83 86 87 90 65 67 0(-0.00, -0.00)
route 8, node_num 14, cost 105.201167, nodes: 0(79.69, 79.69) 13 108(43.79, 69.30) 12 14 16 15 19 18 17 30 28 26 0(0.00, 0.00)
vehicle (route) number: 9
Total cost: 9890.98
10864.55, 373.91
10864.77, 331.52
10864.77, 336.26
10864.55, 205.93
10864.61, 203.49
10864.83, 154.53
10864.61, 189.95
9890.98, 194.39
10864.55, 182.51
10864.93, 144.87
