Details of the solution:
route 0, node_num 8, cost 624.848000, nodes: 0(120000.00, 120000.00) 391 706 312 211 724 575 0(75368.00, 75368.00)
route 1, node_num 8, cost 950.852000, nodes: 0(120000.00, 120000.00) 734 551 438 101 324 164 0(52082.00, 52082.00)
route 2, node_num 9, cost 1773.898000, nodes: 0(120000.00, 120000.00) 243 472 712 414 646 509 840(15908.00, 22615.00) 0(0.00, 0.00)
route 3, node_num 7, cost 1019.900000, nodes: 0(120000.00, 120000.00) 259 538 84 445 297 0(47150.00, 47150.00)
route 4, node_num 8, cost 1505.532000, nodes: 0(120000.00, 120000.00) 674 521 194 697 319 543 0(12462.00, 12462.00)
route 5, node_num 6, cost 275.996000, nodes: 0(120000.00, 120000.00) 555 265 372 333 0(100286.00, 100286.00)
route 6, node_num 7, cost 609.294000, nodes: 0(120000.00, 120000.00) 376 214 160 284 417 0(76479.00, 76479.00)
route 7, node_num 8, cost 1383.452000, nodes: 0(120000.00, 120000.00) 497 307 466 534 367 393 801 0(21182.00, 21182.00)
route 8, node_num 7, cost 746.284000, nodes: 0(120000.00, 120000.00) 736 71 727 490 188 0(66694.00, 66694.00)
route 9, node_num 8, cost 1067.262000, nodes: 0(120000.00, 120000.00) 135 365 611 775 444 704 0(43767.00, 43767.00)
route 10, node_num 7, cost 787.836000, nodes: 0(120000.00, 120000.00) 743 702 557 415 753 0(63726.00, 63726.00)
route 11, node_num 7, cost 1187.060000, nodes: 0(120000.00, 120000.00) 383 715 772 5 443 0(35210.00, 35210.00)
route 12, node_num 8, cost 1224.608000, nodes: 0(120000.00, 120000.00) 592 429 224 100 64 381 0(32528.00, 32528.00)
route 13, node_num 8, cost 1071.364000, nodes: 0(120000.00, 120000.00) 400 416 148 547 353 744 867 0(43474.00, 43474.00)
route 14, node_num 5, cost 519.862000, nodes: 0(120000.00, 120000.00) 357 799 559 0(82867.00, 82867.00)
route 15, node_num 7, cost 629.594000, nodes: 0(120000.00, 120000.00) 481 838 486 131 93 762 0(75029.00, 75029.00)
route 16, node_num 8, cost 1063.748000, nodes: 0(120000.00, 120000.00) 409 649 450 483 590 519 0(44018.00, 44018.00)
route 17, node_num 8, cost 1152.788000, nodes: 0(120000.00, 120000.00) 722 408 174 402 13 54 0(37658.00, 37658.00)
route 18, node_num 8, cost 1616.216000, nodes: 0(120000.00, 120000.00) 632 156 99 787 598 72 0(4556.00, 4556.00)
route 19, node_num 8, cost 854.812000, nodes: 0(120000.00, 120000.00) 496 87 197 792 425 720 0(58942.00, 58942.00)
route 20, node_num 8, cost 1073.156000, nodes: 0(120000.00, 120000.00) 430 273 27 781 354 340 0(43346.00, 43346.00)
route 21, node_num 8, cost 916.874000, nodes: 0(120000.00, 120000.00) 57 588 574 221 681 215 0(54509.00, 54509.00)
route 22, node_num 9, cost 822.472000, nodes: 0(120000.00, 120000.00) 230 680 713 651 664 692 47 0(61252.00, 61252.00)
route 23, node_num 8, cost 1608.880000, nodes: 0(120000.00, 120000.00) 533 631 405 456 576 288 0(5080.00, 5080.00)
route 24, node_num 7, cost 921.172000, nodes: 0(120000.00, 120000.00) 526 796 337 130 510 0(54202.00, 54202.00)
route 25, node_num 7, cost 756.840000, nodes: 0(120000.00, 120000.00) 389 388 305 418 789 0(65940.00, 65940.00)
route 26, node_num 7, cost 1487.206000, nodes: 0(120000.00, 120000.00) 691 675 359 505 177 868 886 825 0(13771.00, 13771.00)
route 27, node_num 7, cost 399.308000, nodes: 0(120000.00, 120000.00) 431 663 525 124 226 0(91478.00, 91478.00)
route 28, node_num 7, cost 1519.812000, nodes: 0(120000.00, 120000.00) 442 108 653 114 109 0(11442.00, 11442.00)
route 29, node_num 8, cost 518.490000, nodes: 0(120000.00, 120000.00) 484 633 698 652 820 470 589 0(82965.00, 82965.00)
route 30, node_num 6, cost 651.672000, nodes: 0(120000.00, 120000.00) 489 777 776 325 0(73452.00, 73452.00)
route 31, node_num 8, cost 1238.650000, nodes: 0(120000.00, 120000.00) 475 565 56 748 295 198 0(31525.00, 31525.00)
route 32, node_num 7, cost 708.400000, nodes: 0(120000.00, 120000.00) 780 480 447 737 349 0(69400.00, 69400.00)
route 33, node_num 8, cost 1354.038000, nodes: 0(120000.00, 120000.00) 878 51 92 63 334 619 457 851 0(23283.00, 23283.00)
route 34, node_num 6, cost 797.188000, nodes: 0(120000.00, 120000.00) 83 546 35 254 0(63058.00, 63058.00)
route 35, node_num 7, cost 761.964000, nodes: 0(120000.00, 120000.00) 542 679 609 662 169 0(65574.00, 65574.00)
route 36, node_num 8, cost 1852.606000, nodes: 0(120000.00, 120000.00) 839(67416.00, 79745.00) 754 647 53 141 890 308 0(0.00, 0.00)
route 37, node_num 8, cost 1434.776000, nodes: 0(120000.00, 120000.00) 441 582 440 601 60 203 871 0(17516.00, 17516.00)
route 38, node_num 7, cost 1429.554000, nodes: 0(120000.00, 120000.00) 684 266 277 745 732 0(17889.00, 17889.00)
route 39, node_num 7, cost 1016.442000, nodes: 0(120000.00, 120000.00) 157 170 593 750 329 0(47397.00, 47397.00)
route 40, node_num 7, cost 1357.552000, nodes: 0(120000.00, 120000.00) 549 596 152 506 323 0(23032.00, 23032.00)
route 41, node_num 8, cost 1511.118000, nodes: 0(120000.00, 120000.00) 192 236 245 463 202 290 0(12063.00, 12063.00)
route 42, node_num 8, cost 1788.444000, nodes: 0(120000.00, 120000.00) 14 260 159 740 779 821 845(17316.00, 25062.00) 0(0.00, 0.00)
route 43, node_num 8, cost 1047.480000, nodes: 0(120000.00, 120000.00) 189 375 292 59 12 420 0(45180.00, 45180.00)
route 44, node_num 7, cost 1448.300000, nodes: 0(120000.00, 120000.00) 10 602 227 437 348 0(16550.00, 16550.00)
route 45, node_num 8, cost 1050.714000, nodes: 0(120000.00, 120000.00) 150 798 673 16 553 469 0(44949.00, 44949.00)
route 46, node_num 8, cost 1312.444000, nodes: 0(120000.00, 120000.00) 244 110 685 637 573 661 0(26254.00, 26254.00)
route 47, node_num 7, cost 1555.232000, nodes: 0(120000.00, 120000.00) 368 303 671 144 560 867 0(8912.00, 8912.00)
route 48, node_num 8, cost 933.240000, nodes: 0(120000.00, 120000.00) 199 513 531 175 234 4 0(53340.00, 53340.00)
route 49, node_num 7, cost 1521.240000, nodes: 0(120000.00, 120000.00) 361 643 8 116 536 0(11340.00, 11340.00)
route 50, node_num 8, cost 1058.610000, nodes: 0(120000.00, 120000.00) 366 278 328 268 62 699 0(44385.00, 44385.00)
route 51, node_num 6, cost 696.794000, nodes: 0(120000.00, 120000.00) 311 146 182 449 0(70229.00, 70229.00)
route 52, node_num 7, cost 789.026000, nodes: 0(120000.00, 120000.00) 158 725 503 180 511 814 0(63641.00, 63641.00)
route 53, node_num 9, cost 1724.688000, nodes: 0(120000.00, 120000.00) 613 605 618 716 595 123 825(20935.00, 24127.00) 0(0.00, 0.00)
route 54, node_num 9, cost 973.812000, nodes: 0(120000.00, 120000.00) 187 196 330 318 561 232 181 0(50442.00, 50442.00)
route 55, node_num 8, cost 1397.382000, nodes: 0(120000.00, 120000.00) 261 770 82 126 477 205 0(20187.00, 20187.00)
