NAME : 400_4
TYPE : EVRP-TW-SPD
DIMENSION : 501
VEHICLES : 500
DISPATCHINGCOST : 300
UNITCOST : 0.014
CAPACITY : 2.5
ELECTRIC_POWER : 30.0
CONSUMPTION_RATE : 0.00025
RECHARGING_RATE : 1.0
EDGE_WEIGHT_TYPE : EXPLICIT
NODE_SECTION
ID,type,lng,lat,delivery,pickup,first_receive_tm,last_receive_tm,service_time
0,d,116.141472,39.956932,0.000000000000000,0.000000000000000,0,960,0
1,c,116.601568,39.951513,0.015297748181828,0.008002251818172,210,240,30
2,c,116.412138,39.956784,0.013482642023083,0.000997357976917,60,150,30
3,c,116.322119,39.932563,0.197484857691723,0.072415142308277,0,120,30
4,c,116.399498,39.925915,0.036820037030634,0.000459962969366,60,180,30
5,c,116.662575,39.868626,0.013873120733050,0.021046879266950,180,210,30
6,c,116.402981,39.939190,0.090533240972505,0.002916759027495,60,120,30
7,c,116.253428,40.052571,0.038692854582639,0.075877145417361,30,120,30
8,c,116.531504,40.018690,0.114219935526603,0.004580064473397,120,240,30
9,c,116.321862,39.969910,0.208070327847736,0.121149672152264,120,240,30
10,c,116.372615,39.861817,0.014631230948125,0.004008769051875,90,210,30
11,c,116.254576,39.816948,0.023090916205505,0.000209083794495,120,180,30
12,c,116.235474,40.073661,0.006573655400912,0.016726344599088,0,60,30
13,c,116.662640,39.902105,0.078160172428993,0.086979827571007,180,240,30
14,c,116.175597,40.138825,0.001071230188480,0.006808769811520,90,180,30
15,c,116.594660,39.909594,0.095876096281372,0.076123903718628,120,240,30
16,c,116.560182,39.926281,0.012028662137050,0.006611337862950,0,90,30
17,c,116.455684,40.020494,0.019885449774845,0.003414550225155,60,180,30
18,c,116.178557,39.933607,0.000701855148315,0.001978144851685,0,30,30
19,c,116.206420,39.910762,0.009076683242389,0.014223316757611,120,150,30
20,c,116.526048,40.125240,0.003743208046537,0.001096791953463,150,180,30
21,c,116.435160,39.841622,0.012105001930718,0.009414998069282,0,60,30
22,c,116.484398,39.991689,0.228660410891398,0.002539589108602,60,120,30
23,c,116.213881,40.162757,0.082180672264191,0.344419327735809,120,180,30
24,c,116.169919,40.081007,0.026485797059448,0.156414202940552,0,60,30
25,c,116.368982,39.991744,0.204893073322005,0.084106926677995,60,120,30
26,c,116.584462,39.775935,0.134197407202666,0.485212592797334,120,210,30
27,c,116.373762,39.896645,0.194558364217621,0.011611635782379,60,150,30
28,c,116.575505,40.034110,0.155482318231535,0.014577681768465,120,210,30
29,c,116.579401,39.799296,0.020261857649690,0.051798142350310,60,150,30
30,c,116.405098,39.854012,0.130984723955928,0.064715276044072,30,150,30
31,c,116.370587,39.879335,0.008819450935142,0.001280549064858,90,210,30
32,c,116.577420,39.820522,0.007752648860126,0.015107351139874,180,240,30
