Details of the solution:
route 0, node_num 7, cost 1436.568000, nodes: 0(120000.00, 120000.00) 812 693 266 277 745 732 0(17388.00, 17388.00)
route 1, node_num 8, cost 1445.472000, nodes: 0(120000.00, 120000.00) 363 247 518 97 423 219 0(16752.00, 16752.00)
route 2, node_num 7, cost 1430.324000, nodes: 0(120000.00, 120000.00) 684 567 461 768 384 0(17834.00, 17834.00)
route 3, node_num 7, cost 1515.346000, nodes: 0(120000.00, 120000.00) 300 643 8 116 536 0(11761.00, 11761.00)
route 4, node_num 8, cost 1788.444000, nodes: 0(120000.00, 120000.00) 14 260 159 740 779 821 845(17316.00, 25062.00) 0(0.00, 0.00)
route 5, node_num 9, cost 1578.542000, nodes: 0(120000.00, 120000.00) 812(72845.00, 72845.00) 610 200 113 3 264 819(30961.00, 30961.00) 0(7247.00, 7247.00)
route 6, node_num 8, cost 1608.880000, nodes: 0(120000.00, 120000.00) 533 631 405 456 576 288 0(5080.00, 5080.00)
route 7, node_num 8, cost 1344.140000, nodes: 0(120000.00, 120000.00) 304 138 271 49 143 741 0(23990.00, 23990.00)
route 8, node_num 8, cost 1544.984000, nodes: 0(120000.00, 120000.00) 535 88 129 385 763 476 834 0(9644.00, 9644.00)
route 9, node_num 8, cost 1521.590000, nodes: 0(120000.00, 120000.00) 368 303 626 358 709 252 0(11315.00, 11315.00)
route 10, node_num 7, cost 1580.712000, nodes: 0(120000.00, 120000.00) 140 183 436 112 23 0(7092.00, 7092.00)
route 11, node_num 7, cost 1435.280000, nodes: 0(120000.00, 120000.00) 79 117 639 18 161 0(17480.00, 17480.00)
route 12, node_num 9, cost 1843.310000, nodes: 0(120000.00, 120000.00) 812(72845.00, 72845.00) 586 769 269 640 766 821 845(13397.00, 25062.00) 0(0.00, 0.00)
route 13, node_num 9, cost 1635.214000, nodes: 0(120000.00, 120000.00) 361 473 671 144 477 505 875(20724.00, 20724.00) 0(3199.00, 3199.00)
route 14, node_num 8, cost 1400.854000, nodes: 0(120000.00, 120000.00) 261 770 82 126 560 205 0(19939.00, 19939.00)
route 15, node_num 6, cost 1365.756000, nodes: 0(120000.00, 120000.00) 257 149 370 577 0(22446.00, 22446.00)
route 16, node_num 8, cost 1182.398000, nodes: 0(120000.00, 120000.00) 591 380 507 275 353 744 867 0(35543.00, 35543.00)
route 17, node_num 8, cost 1354.038000, nodes: 0(120000.00, 120000.00) 878 51 92 63 334 619 457 851 0(23283.00, 23283.00)
route 18, node_num 8, cost 1276.366000, nodes: 0(120000.00, 120000.00) 442 530 721 43 145 253 0(28831.00, 28831.00)
route 19, node_num 8, cost 1592.612000, nodes: 0(120000.00, 120000.00) 351 1 194 499 319 543 0(6242.00, 6242.00)
route 20, node_num 8, cost 1382.724000, nodes: 0(120000.00, 120000.00) 487 9 165 705 527 65 0(21234.00, 21234.00)
route 21, node_num 10, cost 1953.084000, nodes: 0(120000.00, 120000.00) 378 240 759 842(49606.00, 49606.00) 793 644 718 825(4621.00, 24127.00) 0(0.00, 0.00)
route 22, node_num 9, cost 1764.322000, nodes: 0(120000.00, 120000.00) 613 605 618 716 697 595 871(30526.00, 36549.00) 0(0.00, 0.00)
route 23, node_num 8, cost 1522.206000, nodes: 0(120000.00, 120000.00) 360 142 729 302 455 452 0(11271.00, 11271.00)
